78035,bull charging | egyptian hieroglyph e002
78036,calf | egyptian hieroglyph e003
78037,sacred cow | egyptian hieroglyph e004
78038,cow suckling calf | egyptian hieroglyph e005
78039,horse | egyptian hieroglyph e006
78040,donkey | egyptian hieroglyph e007
78041,kid | egyptian hieroglyph e008
78042,kid jumping | egyptian hieroglyph e008a
78043,newborn hartebeest | egyptian hieroglyph e009
78044,mature bovine lying down | egyptian hieroglyph e009a
78045,ram | egyptian hieroglyph e010
78046,ram | egyptian hieroglyph e011
78047,pig | egyptian hieroglyph e012
78048,cat | egyptian hieroglyph e013
78049,dog | egyptian hieroglyph e014
78050,lying canine | egyptian hieroglyph e015
78051,lying canine on shrine | egyptian hieroglyph e016
78052,lying canine on shrine with flagellum | egyptian hieroglyph e016a
78053,jackal | egyptian hieroglyph e017
78054,jackal looking back | egyptian hieroglyph e017a
78055,wolf on standard | egyptian hieroglyph e018
78056,wolf on standard with mace | egyptian hieroglyph e019
78057,set-animal | egyptian hieroglyph e020
78058,set-animal on basket | egyptian hieroglyph e020a
78059,lying set-animal | egyptian hieroglyph e021
78060,lion | egyptian hieroglyph e022
78061,lying lion | egyptian hieroglyph e023
78062,panther | egyptian hieroglyph e024
78063,hippopotamus | egyptian hieroglyph e025
78064,elephant | egyptian hieroglyph e026
78065,giraffe | egyptian hieroglyph e027
78066,oryx | egyptian hieroglyph e028
78067,oryx with irrigation system | egyptian hieroglyph e028a
78068,gazelle | egyptian hieroglyph e029
78069,ibex | egyptian hieroglyph e030
78070,goat with collar | egyptian hieroglyph e031
78071,baboon | egyptian hieroglyph e032
78072,monkey | egyptian hieroglyph e033
78073,hare | egyptian hieroglyph e034
78074,hare (low) | egyptian hieroglyph e034a
78075,baboon | egyptian hieroglyph e036
78076,baboon with receptacle and basket | egyptian hieroglyph e037
78077,long-horned bull | egyptian hieroglyph e038
78078,ox head | egyptian hieroglyph f001
78079,bovine head | egyptian hieroglyph f001a
78080,charging ox head | egyptian hieroglyph f002
78081,hippopotamus head | egyptian hieroglyph f003
78082,forepart of lion | egyptian hieroglyph f004
78083,hartebeest head | egyptian hieroglyph f005
78084,forepart of hartebeest | egyptian hieroglyph f006
78085,ram head | egyptian hieroglyph f007
78086,forepart of ram | egyptian hieroglyph f008
78087,leopard head | egyptian hieroglyph f009
78088,head and neck of animal | egyptian hieroglyph f010
78089,head and neck of animal | egyptian hieroglyph f011
78090,head and neck of animal | egyptian hieroglyph f012
78091,horns | egyptian hieroglyph f013
78092,horns | egyptian hieroglyph f013a
78093,horns with palm branch | egyptian hieroglyph f014
78094,horns with palm branch and sun | egyptian hieroglyph f015
78095,horn | egyptian hieroglyph f016
78096,horn and vase from which water flows | egyptian hieroglyph f017
78097,tusk | egyptian hieroglyph f018
78098,lower jaw-bone of ox | egyptian hieroglyph f019
78099,tongue | egyptian hieroglyph f020
78100,ear of bovine | egyptian hieroglyph f021
78101,hieratic ear of bovine | egyptian hieroglyph f021a
78102,hind-quarters of lion | egyptian hieroglyph f022
78103,foreleg of ox | egyptian hieroglyph f023
78104,foreleg of ox (reversed) | egyptian hieroglyph f024
78105,leg of ox | egyptian hieroglyph f025
78106,skin of goat | egyptian hieroglyph f026
78107,skin of cow with bent tail | egyptian hieroglyph f027
78108,skin of cow with straight tail | egyptian hieroglyph f028
78109,cow's skin pierced by arrow | egyptian hieroglyph f029
78110,water-skin | egyptian hieroglyph f030
78111,three skins tied together | egyptian hieroglyph f031
78112,three skins tied together | egyptian hieroglyph f031a
78113,animal's belly | egyptian hieroglyph f032
78114,tail | egyptian hieroglyph f033
78115,heart | egyptian hieroglyph f034
78116,heart and windpipe | egyptian hieroglyph f035
78117,lung and windpipe | egyptian hieroglyph f036
78118,backbone and ribs and spinal cord | egyptian hieroglyph f037
78119,backbone and ribs | egyptian hieroglyph f037a
78120,backbone and ribs | egyptian hieroglyph f038
78121,backbone and ribs and spinal cord | egyptian hieroglyph f038a
78122,backbone and spinal cord | egyptian hieroglyph f039
78123,backbone and spinal cords | egyptian hieroglyph f040
78124,vertebrae | egyptian hieroglyph f041
78125,rib | egyptian hieroglyph f042
78126,ribs | egyptian hieroglyph f043
78127,bone with meat | egyptian hieroglyph f044
78128,uterus | egyptian hieroglyph f045
78129,uterus | egyptian hieroglyph f045a
78130,intestine | egyptian hieroglyph f046
78131,intestine | egyptian hieroglyph f046a
78132,intestine | egyptian hieroglyph f047
78133,intestine | egyptian hieroglyph f047a
78134,intestine | egyptian hieroglyph f048
78135,intestine | egyptian hieroglyph f049
78136,combination of intestine and folded cloth | egyptian hieroglyph f050
78137,piece of flesh | egyptian hieroglyph f051
78138,three pieces of flesh horizontally | egyptian hieroglyph f051a
78139,three pieces of flesh vertically | egyptian hieroglyph f051b
78140,piece of flesh (reversed) | egyptian hieroglyph f051c
78141,excrement | egyptian hieroglyph f052
78142,divine rod with ram head | egyptian hieroglyph f053
78143,egyptian vulture | egyptian hieroglyph g001
78144,two egyptian vultures | egyptian hieroglyph g002
78145,combination of egyptian vulture and sickle | egyptian hieroglyph g003
78146,buzzard | egyptian hieroglyph g004
78147,falcon | egyptian hieroglyph g005
78148,combination of falcon and flaggellum | egyptian hieroglyph g006
78149,falcon on basket | egyptian hieroglyph g006a
78150,falcon on standard | egyptian hieroglyph g007
78151,falcon in boat | egyptian hieroglyph g007a
78152,falcon in boat | egyptian hieroglyph g007b
78153,falcon on collar of beads | egyptian hieroglyph g008
78154,falcon with sun on head | egyptian hieroglyph g009
78155,falcon in sokar barque | egyptian hieroglyph g010
78156,image of falcon | egyptian hieroglyph g011
78157,image of falcon on standard | egyptian hieroglyph g011a
78158,combination of image of falcon and flagellum | egyptian hieroglyph g012
78159,image of falcon with two plumes | egyptian hieroglyph g013
